字段,因子名,说明,
market_cap,总市值,总市值 = 总股本 * A 股未复权收盘价,
pb_ratio_lf,市净率mrq,当前股票总市值 / 归属母公司股东权益合计 mrq,
ps_ratio_ttm,市销率ttm,总市值 / 营利收入 ttm,
pcf_ratio_total_ttm,市现率_总现金流 ttm,总市值 /（经营活动产生的现金流量净额 ttm + 投资活动产生的现金流量净额 ttm + 筹资活动产生的现金流量净额 ttm),
operating_revenue,营业收入,公司经营主要业务所取得的收入总额,
net_profit,净利润,净利润（收益）是指在利润总额中按规定交纳了所得税以后公司的利润留存，一般也称为税后利润或净收入 ,
net_profit_deduct_non_recurring_pnl_ttm_0,扣除非经常性损益后的净利润ttm,,扣除非经常性损益后的净利润
operating_cash_flow_per_share_ttm,每股经营现金流 ttm,经营活动产生的现金流量净额 ttm / 总股本,
basic_earnings_per_share_ttm_0,基本每股收益ttm,基本每股收益：本每股收益是指企业应当按照属于普通股股东的当期净利润，除以发行在外普通股的加权平均数从而计算出的每股收益,
pe_ratio_ttm,市盈率 ttm,总市值 / 归属母公司净利润 ttm,
ev_to_ebit,企业价值 / 息税前利润,企业价值 / 息税前利润,
dividend_yield_ttm,股息率,,
net_profit_to_revenue_ttm,经营净利率 ttm,净利润 ttm / 营业总收入 ttm,
expense_to_revenue_ttm,经营成本率 ttm,营业总成本 ttm / 营业总收入 ttm,
cfp_ratio_ttm,现金收益率 ttm,现金收益率 = (经营活动产生的现金流量净额 ttm + 投资活动产生的现金流量净额 ttm + 筹资活动产生的现金流量净额 ttm）/ 总市值,
debt_to_asset_ratio_ttm,资产负债率 ttm,负债合计 ttm / 总资产,
current_ratio_ttm,流动比率 ttm,流动资产合计 ttm / 流动负债合计 ttm,
quick_ratio_ttm,速动比率 ttm,（流动资产合计 ttm - 存货 ttm - 预付账款 ttm - 待摊费用 ttm）/ 流动负债合计 ttm,
account_receivable_turnover_rate_ttm,应收账款周转率 ttm,营业收入 ttm / 当期报表披露应收账款净额 ttm,
account_payable_turnover_rate_ttm,应付账款周转率 ttm,营业成本 ttm /当期报表披露应付账款 ttm,
fixed_asset_turnover_ttm,固定资产周转率 ttm,营业收入 ttm / 当期报表披露固定资产总计 ttm,
total_asset_turnover_ttm,总资产周转率 ttm,营业收入 ttm / 当期报表披露总资产 ttm,
operating_cycle_ttm,营业周期 ttm,应收账款周转天数 ttm + 存货周转天数 ttm,
cash_conversion_cycle_ttm,现金转换周期 ttm,营业周期 ttm - 应付账款付款期 ttm,
return_on_equity_ttm,净资产收益率 ttm,归属母公司净利润 ttm * 2 / (归属母公司股东权益合计 ttm + 上期报表披露归属母公司股东权益合计 ttm),
return_on_invested_capital_ttm,投入资本回报率 ttm,（净利润 ttm + 财务费用 ttm）/（资产总计 ttm - 流动负债 ttm + 应付票据 ttm + 短期借款 ttm + 一年内到期的非流动负债 ttm,
return_on_asset_ttm,总资产报酬率 ttm,息税前利润 ttm / 总资产 ttm,
inc_revenue_ttm,营业总收入同比增长率 ttm,营业总收入 ttm / 上年营业总收入 ttm - 1,
net_profit_growth_ratio_ttm,净利润同比增长率 ttm,(净利润 ttm - 去年净利润 ttm) / 去年净利润 ttm,
operating_revenue_growth_ratio_ttm,营业收入同比增长率 ttm,(营业收入 ttm - 去年营业收入 ttm) / 去年营业收入 ttm,
net_operate_cash_flow_growth_ratio_ttm,经营现金流量净额同比增长率 ttm,经营活动产生的现金流量净额 ttm / 去年经营活动产生的现金流量净额 ttm - 1,
VOL20,平均换手率20日,"HSL = VOLUME / CAPITAL，VOL3, 5, 10... = MA(HSL, N)，HSL 代表换手率，CAPITAL 代表流通股本",
VOL60,平均换手率60日,,
VOL120,平均换手率120日,,
WorldQuant_alpha013,,"(-1 * RANK(COVARIANCE(RANK(CLOSE), RANK(VOLUME), 5)))",
WorldQuant_alpha015,,"(-1 * SUM(RANK(CORRELATION(RANK(HIGH), RANK(VOLUME), 3)), 3))",
WorldQuant_alpha050,,"(-1 * TS_MAX(RANK(CORRELATION(RANK(VOLUME), RANK(VWAP), 5)), 5))",
WorldQuant_alpha016,,"(-1 * RANK(COVARIANCE(RANK(HIGH), RANK(VOLUME), 5)))",
WorldQuant_alpha044,,"(-1 * CORRELATION(HIGH, RANK(VOLUME), 5))",
WorldQuant_alpha003,,"(-1 * CORRELATION(RANK(OPEN), RANK(VOLUME), 10))",
WorldQuant_alpha055,,"(-1 * CORRELATION(RANK(((CLOSE - TS_MIN(LOW, 12)) / (TS_MAX(HIGH, 12) - TS_MIN(LOW, 12)))), RANK(VOLUME), 6))",
WorldQuant_alpha072,,"(rank(decay_linear(correlation(((high+low)/2),adv40,8.93345), 10.1519))/rank(decay_linear(correlation(Ts_Rank(vwap,3.72469),Ts_Rank(volume,18.5188),6.86671),2.95011)))",
WorldQuant_alpha074,,"((rank(correlation(close,sum(adv30,37.4843),15))<rank(correlation(rank(((high*0.0261661)+(vwap*(1-0.0261661)))),rank(volume),11)))*-1)",
WorldQuant_alpha004,,"(-1 * Ts_Rank(rank(low),9))",